object_type,loc_name,full_name,pf_class,attribute_name,attribute_description,value,value_text,raw_value_text,value_type,unit,readable,data_source_hint
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,AccessTime,Zugangszeiten für Schalter: Erste manuelle Schalthandlung nach dem Fehler,0.0,0.0,0.0,float,min,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,appr_modby,Zustimmungsinformation: Verändert durch,,,,str, ,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,appr_modif,Zustimmungsinformation: Verändert,0,0,0,int, ,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,appr_status,Zustimmungsinformation: Status,0,0,0,int, ,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,arcLength,Lichtbogenlänge,0.0,0.0,0.0,float,mm,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,BoxDepth,Gehäusedimensionen: Tiefe,0.0,0.0,0.0,float,mm,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,BoxHeight,Gehäusedimensionen: Höhe,0.0,0.0,0.0,float,mm,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,BoxWidth,Gehäusedimensionen: Breite,0.0,0.0,0.0,float,mm,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,cAccessTime,Zugangszeiten für Schalter: Erste manuelle Schalthandlung nach dem Fehler,0.0,0.0,0.0,float,min,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,carcLength,Lichtbogenlänge,0.0,0.0,0.0,float,mm,True,base
bus,Bus 1,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm,ElmTerm,cBoxDepth,Tiefe,0.0,0.0,0.0,float,mm,True,base
