object_type,loc_name,full_name,pf_class,attribute_name,attribute_description,value,value_text,raw_value_text,value_type,unit,readable,data_source_hint
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,a0dc,"Ergebnisse der Parameterberechnung: Wellenübertragung, DC, Mode 0",1.0,1.0,1.0,float,p.u.,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,a1dc,"Ergebnisse der Parameterberechnung: Wellenübertragung, DC, Mode 1",1.0,1.0,1.0,float,p.u.,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,a2dc,"Ergebnisse der Parameterberechnung: Wellenübertragung, DC, Mode 2",1.0,1.0,1.0,float,p.u.,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,adc,"Wellenübertragung, DC",[],[],[],list,[],True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,adcFR,"Wellenübertragung, DC",[],[],[],list,[],True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,allowCntConstrFilt,Filter für Nebenbedingungen: Erlaube Filterung bzgl. Anzahl kritischer Nebenbedingungen,1,1,1,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,allowMarginFilt,Filter für Nebenbedingungen: Erlaube Filterung bzgl. max. Grenzabstand,1,1,1,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,allowOutDistFacFilt,Filter für Nebenbedingungen: Erlaube Filterung bzgl. Ausfallverteilungsfaktor,1,1,1,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,alpha,Durchschn. Diffusionsfähigkeit,1775.0,1775.0,1775.0,float,mm^2/s,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,appr_modby,Zustimmungsinformation: Verändert durch,,,,str, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,appr_modif,Zustimmungsinformation: Verändert,0,0,0,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,appr_status,Zustimmungsinformation: Status,0,0,0,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,armTyp,Typparameter: Bewehrungsart:AWA:SWA,-1,-1,-1,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,asys,"Installationsbedingungen: Abstand:Berührend:1x Kabeldurchmesser:d <= 0,125 m:0,125 m < d <= 0,25 m:0,25 m < d <= 0,5 m:0,5 m < d <= 1,0 m",0,0,0,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,B0,Suszeptanz B0,0.0,0.0,0.0,float,uS,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,B0m,B0m,,,,NoneType,,False,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,b0Sbasepu,b0 (Sbase),0.0,0.0,0.0,float,p.u.,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,B1,Suszeptanz B1,332.70001220703125,332.70001220703125,332.70001220703125,float,uS,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,boltResOn,Schraubenverbindung,0,0,0,int, ,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,bSbasepu,b (Sbase),0.17599830031394958,0.17599830031394958,0.17599830031394958,float,p.u.,True,base
line,Line 4-5,\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Line 4-5.ElmLne,ElmLne,bus1,Anschluss i,<l3>\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 5.ElmTerm\Cub_1.StaCubic</l3>,<powerfactory.DataObject <l1>\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 5.ElmTerm\Cub_1.StaCubic</l1>>,<powerfactory.DataObject <l1>\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 5.ElmTerm\Cub_1.StaCubic</l1>>,DataObject,StaCubic,True,base
