entity_type;pf_class;object_name;full_name;attribute_name;attribute_label;attribute_description;data_origin;read_ok;display_value;raw_value_repr;numeric_value;unit;unit_source;value_type;queryability_filter;filter_reason
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;AccessTime;<built-in method title of str object at 0x000002D8DA75D1B0>;Zugangszeiten für Schalter: Erste manuelle Schalthandlung nach dem Fehler;base_or_parameter;True;0.0;0.0;0.0;min;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;BoxDepth;<built-in method title of str object at 0x000002D8DA7D02D0>;Gehäusedimensionen: Tiefe;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;BoxHeight;<built-in method title of str object at 0x000002D8DA7D0420>;Gehäusedimensionen: Höhe;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;BoxWidth;<built-in method title of str object at 0x000002D8DA7D0500>;Gehäusedimensionen: Breite;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;CCEarFr;<built-in method title of str object at 0x000002D8DA72FA30>;Fehlerdaten Doppelerdschluss: Erdschlusshäufigkeit;base_or_parameter;True;0.0;0.0;0.0;1/a;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;CCEarProb;<built-in method title of str object at 0x000002D8DA72FAB0>;Fehlerdaten Doppelerdschluss: Bedingte Wahrscheinlichkeit eines 2. Erdschlusses;base_or_parameter;True;0.0;0.0;0.0;%;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;CCEarRepMu;<built-in method title of str object at 0x000002D8DA799410>;Fehlerdaten Doppelerdschluss: Reparaturdauer;base_or_parameter;True;0.0;0.0;0.0;h;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;CondGap;<built-in method title of str object at 0x000002D8DA7C13F0>;Leiterabstand;base_or_parameter;True;0.0;0.0;0.0;mm;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;DcBoxType;<built-in method title of str object at 0x000002D8DA7A3750>;Gehäuseart:Schaltschrank:NS Schaltanlage:MS Schaltanlage;base_or_parameter;True;0.0;0;0.0; ;powerfactory;int;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Electrodes;<built-in method title of str object at 0x000002D8DA7CDC50>;Elektrodenanordnung;base_or_parameter;True;voa;'voa';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;FOD;<built-in method title of str object at 0x000002D8DA7D0810>;Fehlerdaten Ausfälle: Mittlere Auszeit;base_or_parameter;True;0.0;0.0;0.0;h;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;FOE;<built-in method title of str object at 0x000002D8DA7D0960>;Fehlerdaten Ausfälle: Auszeiterwartung;base_or_parameter;True;0.0;0.0;0.0;h/a;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;FOR1;<built-in method title of str object at 0x000002D8DA72FBB0>;Fehlerdaten Ausfälle: Ausfallhäufigkeit;base_or_parameter;True;0.0;0.0;0.0;1/a;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;GPSlat;<built-in method title of str object at 0x000002D8DA7993B0>;Geographische Position: Breitengrad / Nordwert;base_or_parameter;True;0.0;0.0;0.0;deg;powerfactory;float;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;GPSlon;<built-in method title of str object at 0x000002D8DA72FC30>;Geographische Position: Längengrad / Ostwert;base_or_parameter;True;0.0;0.0;0.0;deg;powerfactory;float;helper_filtered;attr_name_matches_helper_pattern
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Iac_t;<built-in method title of str object at 0x000002D8DA799470>;A.C. Anteil des Kurzschlussstroms;base_or_parameter;True;0.0;0.0;0.0;kA;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Inom;<built-in method title of str object at 0x000002D8DA7D4470>;Nennstrom;base_or_parameter;True;0.0;0.0;0.0;kA;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Inom_a;<built-in method title of str object at 0x000002D8DA7CDCF0>;Nennstrom (akt.);base_or_parameter;True;0.0;0.0;0.0;kA;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;LocAccTime;<built-in method title of str object at 0x000002D8DA75D2F0>;Zugangszeiten für Schalter: Nach Schalthandlung an anderer Sammelschiene;base_or_parameter;True;0.0;0.0;0.0;min;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;NodeName;<built-in method title of str object at 0x000002D8DA7D4AF0>;Knoten-Name;base_or_parameter;True;Bus 1;'Bus 1';; ;powerfactory;str;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;NomIn;<built-in method title of str object at 0x000002D8DA7D0D50>;"""Summe der Speisekabel"" oder ""Kleinstes Speisekabel""";base_or_parameter;True;0.0;0.0;0.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;NomOut;<built-in method title of str object at 0x000002D8DA7A3900>;"""Summe der abgehenden Kabel"" oder ""Größtes abgehendes Kabel""";base_or_parameter;True;0.0;0.0;0.0; ;powerfactory;float;keep;pf_unit_available
bus;ElmTerm;Bus 1;\STELLER.IntUser\Nine-bus System(2).IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Nine-bus System.ElmNet\Bus 1.ElmTerm;Smax;<built-in method title of str object at 0x000002D8DA799530>;Max. integrierbare Scheinleistung;base_or_parameter;False;;;;;;;review;engineering_match_but_not_readable
