"run_id";"user_input";"route";"answer";"status";"error";"details";"duration_seconds";"prompt_tokens";"completion_tokens";"total_tokens";"token_details";"json_path";"domain";"planning_mode";"workflow";"confidence";"safe_to_execute";"num_steps";"steps";"planner_reasoning";"resolved_object";"resolved_object_confidence";"selected_attributes";"attribute_confidence";"num_tool_calls";"executed_tools";"failed_tool"
"1";"Welche Lasten gibt es in PowerFactory?";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"4.384";"887";"851";"1738";"{""phi3:mini"": {""input_tokens"": 887, ""output_tokens"": 851, ""total_tokens"": 1738}}";"router_batch_results\20260520_171147\001_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"2";"Zeig mir alle verfügbaren Lasten im aktiven PowerFactory-Projekt.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"4.598";"905";"919";"1824";"{""phi3:mini"": {""input_tokens"": 905, ""output_tokens"": 919, ""total_tokens"": 1824}}";"router_batch_results\20260520_171147\002_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"3";"Liste die vorhandenen Loads in Powerfactory auf.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"3.116";"893";"608";"1501";"{""phi3:mini"": {""input_tokens"": 893, ""output_tokens"": 608, ""total_tokens"": 1501}}";"router_batch_results\20260520_171147\003_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"4";"Welche Verbraucher sind im PF-Modell vorhanden?";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"3.02";"901";"596";"1497";"{""phi3:mini"": {""input_tokens"": 901, ""output_tokens"": 596, ""total_tokens"": 1497}}";"router_batch_results\20260520_171147\004_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"5";"Erhöhe Last A um 2 MW.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"3.255";"889";"639";"1528";"{""phi3:mini"": {""input_tokens"": 889, ""output_tokens"": 639, ""total_tokens"": 1528}}";"router_batch_results\20260520_171147\005_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"6";"Füge 2 MW bei Load A hinzu.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"0.968";"891";"145";"1036";"{""phi3:mini"": {""input_tokens"": 891, ""output_tokens"": 145, ""total_tokens"": 1036}}";"router_batch_results\20260520_171147\006_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"7";"Erhöhe Verbraucher A um 2 MW.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"1.204";"895";"195";"1090";"{""phi3:mini"": {""input_tokens"": 895, ""output_tokens"": 195, ""total_tokens"": 1090}}";"router_batch_results\20260520_171147\007_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"8";"Reduziere Last B um 3 MW.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"1.269";"891";"206";"1097";"{""phi3:mini"": {""input_tokens"": 891, ""output_tokens"": 206, ""total_tokens"": 1097}}";"router_batch_results\20260520_171147\008_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"9";"Ziehe 3 MW von Last B ab.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"5.82";"891";"1115";"2006";"{""phi3:mini"": {""input_tokens"": 891, ""output_tokens"": 1115, ""total_tokens"": 2006}}";"router_batch_results\20260520_171147\009_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
"10";"Mache Load B um 3 MW kleiner.";"ERROR";"Der UnifiedPlanner hat keine gültige strukturierte Ausgabe erzeugt.";"error";"";"";"2.113";"891";"394";"1285";"{""phi3:mini"": {""input_tokens"": 891, ""output_tokens"": 394, ""total_tokens"": 1285}}";"router_batch_results\20260520_171147\010_router_result.json";"ERROR";"";"";"";"";"0";"";"";"";"";"";"";"0";"";""
