"run_id";"user_input";"route";"answer";"status";"error";"details";"duration_seconds";"prompt_tokens";"completion_tokens";"total_tokens";"token_details";"json_path";"domain";"planning_mode";"workflow";"confidence";"safe_to_execute";"num_steps";"steps";"planner_reasoning";"resolved_object";"resolved_object_confidence";"selected_attributes";"attribute_confidence";"num_tool_calls";"executed_tools";"failed_tool";"equipment_resolution_mode";"attribute_resolution_mode";"comparison_resolution_mode"
"1";"Welche Lasten gibt es in PowerFactory?";"POWERFACTORY";"Available loads in the active PowerFactory project: Load A, Load B, Load C.";"ok";"";"";"23.401";"4907";"264";"5171";"{""llama3.1:8b"": {""input_tokens"": 4907, ""total_tokens"": 5171, ""output_tokens"": 264}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\001_router_result.json";"POWERFACTORY";"";"";"high";"True";"2";"get_load_catalog | summarize_load_catalog";"The user is asking for a list of loads in PowerFactory, which matches the definition of load_catalog.";"<omitted:str>";"";"";"";"2";"get_load_catalog | summarize_load_catalog";"";"";"";""
"2";"Zeig mir alle verfügbaren Lasten im aktiven PowerFactory-Projekt.";"POWERFACTORY";"Die verfügbaren Lasten im aktiven PowerFactory-Projekt sind: Load A, Load B, Load C.";"ok";"";"";"5.475";"4937";"350";"5287";"{""llama3.1:8b"": {""input_tokens"": 4937, ""total_tokens"": 5287, ""output_tokens"": 350}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\002_router_result.json";"POWERFACTORY";"";"";"high";"True";"2";"get_load_catalog | summarize_load_catalog";"The user is asking for a list of available loads in the active project, which matches the definition of load_catalog.";"<omitted:str>";"";"";"";"2";"get_load_catalog | summarize_load_catalog";"";"";"";""
"3";"Liste die vorhandenen Loads in Powerfactory auf.";"POWERFACTORY";"Available loads in the active PowerFactory project: Load A, Load B, Load C.";"ok";"";"";"4.938";"4897";"289";"5186";"{""llama3.1:8b"": {""input_tokens"": 4897, ""total_tokens"": 5186, ""output_tokens"": 289}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\003_router_result.json";"POWERFACTORY";"";"";"high";"True";"2";"get_load_catalog | summarize_load_catalog";"The user is asking for a list of loads, which fits the definition of loading the PowerFactory object catalog.";"<omitted:str>";"";"";"";"2";"get_load_catalog | summarize_load_catalog";"";"";"";""
"4";"Welche Verbraucher sind im PF-Modell vorhanden?";"HISTORICAL";"Ich habe 19 Verbraucher vom Typ ""ConformLoad"" im PF-Modell gefunden: Load 03, Load 04, Load 07, Load 08, Load 12, Load 15, Load 16, Load 18, Load 20, Load 21, Load 23, Load 24, Load 25, Load 26, Load 27, Load 28, Load 29, Load 31, Load 39.";"ok";"";"";"7.449";"5003";"557";"5560";"{""llama3.1:8b"": {""input_tokens"": 5003, ""total_tokens"": 5560, ""output_tokens"": 557}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\004_router_result.json";"HISTORICAL";"";"";"high";"True";"2";"scan_snapshot_inventory | list_equipment_of_type";"The request matches the standard_listing intent, which is used to retrieve a list of objects of a specific CIM equipment type.";"<omitted:str>";"";"";"";"2";"scan_snapshot_inventory | list_equipment_of_type";"";"type_only_query";"";""
"5";"Erhöhe Last A um 2 MW.";"POWERFACTORY";"Die Last A wurde um 2 MW erhöht. Die Spannungen auf allen Bussen (Bus 1-9) blieben unverändert und liegen innerhalb der zulässigen Grenzen (Umin = 0,95 p.u., Umax = 1,05 p.u.).";"ok";"";"";"9.597";"8437";"563";"9000";"{""llama3.1:8b"": {""input_tokens"": 8437, ""total_tokens"": 9000, ""output_tokens"": 563}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\005_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The user is asking to increase a load value, which matches the definition of change_load.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
"6";"Füge 2 MW bei Load A hinzu.";"POWERFACTORY";"Die Anfrage konnte nicht bearbeitet werden. Fehlergrund: unknown_error.";"not_found";"";"";"8.173";"6661";"541";"7202";"{""llama3.1:8b"": {""input_tokens"": 6661, ""total_tokens"": 7202, ""output_tokens"": 541}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\006_router_result.json";"POWERFACTORY";"";"";"";"";"0";"";"";"<omitted:str>";"";"";"";"2";"interpret_instruction | resolve_load";"";"";"";""
"7";"Erhöhe Verbraucher A um 2 MW.";"HISTORICAL";"Keine Daten für den Zeitraum ""historical"" zur Änderung des Verbrauchs von ""Verbraucher A"" um 2 MW vorhanden.";"ok";"";"";"11.688";"7366";"748";"8114";"{""llama3.1:8b"": {""input_tokens"": 7366, ""total_tokens"": 8114, ""output_tokens"": 748}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\007_router_result.json";"HISTORICAL";"";"";"high";"True";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"The request asks to modify the existing value of Consumer A, which falls under custom planning.";"<omitted:str>";"";"";"";"4";"scan_snapshot_inventory | resolve_cim_object | query_cim | summarize_cim_result";"";"";"";""
"8";"Reduziere Last B um 3 MW.";"POWERFACTORY";"Die Spannung auf allen Bussen liegt innerhalb der zulässigen Grenzen. Die größten Änderungen für die Leitungsauslastung betragen: Line 4-6: -0,6616 % Line 4-5: -0,1124 % Line 7-8: -0,1086 % Line 8-9: +0,0925 % Line 5-7: -0,0322 %";"ok";"";"";"11.53";"7768";"721";"8489";"{""llama3.1:8b"": {""input_tokens"": 7768, ""total_tokens"": 8489, ""output_tokens"": 721}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\008_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The user is asking to modify a load value in PowerFactory, which fits the definition of the change_load intent.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
"9";"Ziehe 3 MW von Last B ab.";"POWERFACTORY";"Die von Ihnen angeforderte Lastreduzierung von 3 MW auf Bus B hat keine Auswirkungen auf die Spannungen oder die Leitungsauslastung.";"ok";"";"";"11.905";"7767";"725";"8492";"{""llama3.1:8b"": {""input_tokens"": 7767, ""total_tokens"": 8492, ""output_tokens"": 725}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\009_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The user is asking to reduce the value of a load (Last B) by 3 MW, which fits the definition of change_load.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
"10";"Mache Load B um 3 MW kleiner.";"POWERFACTORY";"The load at Bus B has been reduced by 3 MW.";"ok";"";"";"11.346";"7895";"697";"8592";"{""llama3.1:8b"": {""input_tokens"": 7895, ""total_tokens"": 8592, ""output_tokens"": 697}}";"C:\Users\STELLER\Documents\Masterarbeit\Test CIM\cimpy fork\cimpy\router_batch_results\20260523_133005\010_router_result.json";"POWERFACTORY";"";"";"high";"True";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"The request clearly fits the definition of change_load, as it asks to modify a load value. The specific load (Load B) and the amount by which to reduce it (3 MW smaller) are also specified.";"<omitted:str>";"";"";"";"4";"interpret_instruction | resolve_load | execute_change_load | summarize_powerfactory_result";"";"";"";""
